,logradouro,bairro,localidade,uf,ibge,gia,ddd,siafi,nome_arquivo,data_arquivo,ccep,cep_loc,ccep_compl
189,Avenida Maranduba,Caceia,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07604605,07604,605
190,Avenida Esmeralda,Mantiqueira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07613660,07613,660
191,Avenida Cancelata,Luiz Fagundes,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07625480,07625,480
192,Avenida dos Rubis,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619188,07619,188
193,Avenida Pau Marfim,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619236,07619,236
194,Avenida Flamboyant,Jundiaizinho (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07664495,07664,495
195,Avenida São Paulo,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07618862,07618,862
196,Avenida dos Cedros,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619200,07619,200
197,Avenida Campo Baio,Cumbari,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07620100,07620,100
198,Avenida Ouro Preto,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619024,07619,024
199,Avenida Caraguatá,Cumbari,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07620120,07620,120
200,Avenida Beira Lago,Olho D'Água,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07601050,07601,050
201,Avenida dos Angicos,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619224,07619,224
202,Avenida Neli Ladeia,Capoavinha,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07629004,07629,004
203,Avenida Pietro Petri,Terra Preta (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07661435,07661,435
204,Avenida das Granadas,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619184,07619,184
205,Avenida Renato Pucci,Mantiqueira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07613765,07613,765
206,Avenida dos Beraldes,Mato Dentro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07656400,07656,400
207,Avenida das Caviunas,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619460,07619,460
208,Avenida Serra Morena,Barreiro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07611015,07611,015
209,Avenida Minas Gerais,Mata Fria,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07628005,07628,005
210,Avenida dos Alecrins,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619208,07619,208
211,Avenida das Carnaubas,Olho D'Água,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07601170,07601,170
212,Avenida das Camélias,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619228,07619,228
213,Avenida dos Coqueiros,Barreiro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07611400,07611,400
214,Avenida Manoel Martins,Samambaia,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07623025,07623,025
215,Avenida dos Girassóis,Santa Inês,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07610620,07610,620
