codigo;modelo
2415;{'codigo': 2415, 'nome': 'Gol City 1.6 Mi 8V 2p'}
2416;{'codigo': 2416, 'nome': 'Gol City 1.6 Mi 8V 4p'}
2418;{'codigo': 2418, 'nome': 'Gol CL 1.6 Mi 2p e 4p'}
2419;{'codigo': 2419, 'nome': 'Gol CL 1.8 Mi 2p e 4p'}
2420;{'codigo': 2420, 'nome': 'Gol CLi / CL 1.8'}
2421;{'codigo': 2421, 'nome': 'Gol CLi / CL/ Copa/ Stones 1.6'}
6791;{'codigo': 6791, 'nome': 'Gol Comfort. I MOTION 1.6 T. Flex 8V 3p'}
6792;{'codigo': 6792, 'nome': 'Gol Comfort. I MOTION 1.6 T. Flex 8V 5p'}
7521;{'codigo': 7521, 'nome': 'Gol Comfortline 1.0 T. Flex 12V 5p'}
6787;{'codigo': 6787, 'nome': 'Gol Comfortline 1.0 T. Flex 8V 3p'}
6788;{'codigo': 6788, 'nome': 'Gol Comfortline 1.0 T. Flex 8V 5p'}
6789;{'codigo': 6789, 'nome': 'Gol Comfortline 1.6 T. Flex 8V 3p'}
6790;{'codigo': 6790, 'nome': 'Gol Comfortline 1.6 T. Flex 8V 5p'}
3958;{'codigo': 3958, 'nome': 'Gol COPA 1.0 Mi Total Flex 8V 4p'}
3959;{'codigo': 3959, 'nome': 'Gol COPA 1.6 Mi Total Flex 8V 4p'}
5218;{'codigo': 5218, 'nome': 'Gol ECOMOTION  1.0 Mi Total Flex 8V 4p'}
5219;{'codigo': 5219, 'nome': 'Gol ECOMOTION 1.0 Mi Total Flex 8V 2p'}
2422;{'codigo': 2422, 'nome': 'Gol Furgao 1.0 mi'}
2423;{'codigo': 2423, 'nome': 'Gol Furgão 1.6 Mi/ 1.6i/ 1.6'}
2424;{'codigo': 2424, 'nome': 'Gol GL 1.6 Mi/Star 1.6 e 1.8/Atlanta 1.6'}
2425;{'codigo': 2425, 'nome': 'Gol GL 1.8 Mi 2p e 4p'}
2426;{'codigo': 2426, 'nome': 'Gol GLi / GL/ Atlanta 1.8'}
2427;{'codigo': 2427, 'nome': 'Gol GLS 2.0 Mi'}
2428;{'codigo': 2428, 'nome': 'Gol GT/GTS 1.8'}
