codigo;modelo
747;{'codigo': 747, 'nome': 'F-1000 XLT 4x4 Diesel Turbo'}
748;{'codigo': 748, 'nome': 'F-1000 XLT CE 4.9i'}
749;{'codigo': 749, 'nome': 'F-1000 XLT Diesel Turbo'}
750;{'codigo': 750, 'nome': 'F-1000 XLT/XL Lighting 4.9i'}
10398;{'codigo': 10398, 'nome': 'F-150 Lariat 4x4 5.0 V8'}
10399;{'codigo': 10399, 'nome': 'F-150 Platinum 4x4 5.0 V8'}
751;{'codigo': 751, 'nome': 'F-150 XL Triton 4.3 V6'}
752;{'codigo': 752, 'nome': 'F-150 XLT Triton 4.3'}
753;{'codigo': 753, 'nome': 'F-150 XLT Triton 4.6 V8'}
754;{'codigo': 754, 'nome': 'F-150 XLT Triton 5.8'}
5191;{'codigo': 5191, 'nome': 'F-250 F-MILHA CD 3.9 TB Diesel'}
6032;{'codigo': 6032, 'nome': 'F-250 Tropica./Tropmine Exec. 3.9 Diesel'}
4161;{'codigo': 4161, 'nome': 'F-250 TropiCab CE 3.9 TB Diesel'}
755;{'codigo': 755, 'nome': 'F-250 Tropical 3.9 Diesel'}
756;{'codigo': 756, 'nome': 'F-250 Tropical 4.2 CE / CD Diesel TB'}
757;{'codigo': 757, 'nome': 'F-250 Tropical 4.2 V6'}
758;{'codigo': 758, 'nome': 'F-250 Tropical SL/ Van T.Diesel (todas)'}
4162;{'codigo': 4162, 'nome': 'F-250 Tropicampo CD 3.9 TB Diesel'}
4163;{'codigo': 4163, 'nome': 'F-250 Tropiclassic 3.9 TB Diesel'}
4164;{'codigo': 4164, 'nome': 'F-250 Tropivan Executive 3.9 TB Diesel'}
4165;{'codigo': 4165, 'nome': 'F-250 Tropivan/Tropi. Plus 3.9 TB Diesel'}
762;{'codigo': 762, 'nome': 'F-250 XL 3.9 4x2 Diesel'}
4056;{'codigo': 4056, 'nome': 'F-250 XL 3.9 4x4 TB Diesel'}
4057;{'codigo': 4057, 'nome': 'F-250 XL 3.9 CD TB Diesel'}
759;{'codigo': 759, 'nome': 'F-250 XL 4.2 180cv CD TB Diesel'}
