codigo;nome;id
811;Ibiza 3.9 Furgão Diesel;22
812;Ibiza Chat./Exec. 3.9 Diesel;22
4514;Ka 1.0 8V/1.0 8V ST Flex 3p;22
8744;Ka 1.0 FREESTYLE 12V Flex 5p Mec.;22
8149;Ka 1.0 S TiVCT Flex 5p;22
6915;Ka 1.0 SE/SE Plus TiVCT Flex 5p;22
6914;Ka 1.0 SEL TiVCT Flex 5p;22
8122;Ka 1.0 TECNO 12V Flex 5p;22
4789;Ka 1.0 TECNO 8V Flex 3p;22
813;Ka 1.0i 3p;22
8745;Ka 1.5 100 Anos Flex 5p Aut.;22
8401;Ka 1.5 FreeStyle 12V Flex 5p Aut.;22
8402;Ka 1.5 FreeStyle 12V Flex 5p Mec.;22
8440;Ka 1.5 SE 12V Flex 5p Aut.;22
8441;Ka 1.5 SE 12V Flex 5p Mec.;22
8442;Ka 1.5 SE Plus 12V Flex 5p Aut.;22
8443;Ka 1.5 SE Plus 12V Flex 5p Mec.;22
6916;Ka 1.5 SE/SE PLUS 16V Flex 5p;22
8444;Ka 1.5 Sedan SE 12V Flex 4p Aut.;22
8445;Ka 1.5 Sedan SE 12V Flex 4p Mec.;22
8446;Ka 1.5 Sedan SE Plus 12V Flex 4p Aut.;22
8447;Ka 1.5 Sedan SE Plus 12V Flex 4p Mec.;22
8746;Ka 1.5 Sedan SEL 12V Flex 4p Aut.;22
8448;Ka 1.5 Sedan SEL 12V Flex 4p Mec.;22
8403;Ka 1.5 Sedan TITANIUM 12V Flex 4p Aut.;22
8449;Ka 1.5 TITANIUM 12V Flex 5p Aut.;22
4515;Ka 1.6 8V Flex 3p;22
4790;Ka 1.6 TECNO 8V Flex 3p;22
814;Ka Action 1.6 MPI 8V 95cv;22
815;Ka Black 1.0 MPI 8v 65cv;22
816;Ka Black 1.6 MPI 8v 95cv;22
817;Ka CLX 1.3i 3p;22
818;Ka GL 1.0i Zetec Rocam;22
819;Ka GL Image 1.0i/ 1.0i Zetec Rocam;22
820;Ka Image 1.0i;22
3887;Ka MP3 1.0 MPI 8V 65cv;22
3888;Ka MP3 1.6 MPI 8V 95cv;22
6917;Ka SEL 1.5 16V Flex 5p;22
5623;Ka Sport 1.6 8V Flex 3p;22
821;Ka Street 1.0i;22
822;Ka Tecno 1.0i 8v Zetec Rocam;22
7905;Ka TRAIL 1.0 12V Flex Mec. 5p;22
7904;Ka TRAIL 1.5 16V Flex Mec. 5p;22
823;Ka XR 1.6 MPI 8V;22
6919;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;22
6918;Ka+ Sedan 1.0 SEL TiCVT Flex 4p;22
8123;Ka+ Sedan 1.5 ADVANCED 16V Flex 4p;22
6920;Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p;22
6921;Ka+ Sedan 1.5 SEL 16V Flex 4p;22
9744;Maverick Lariat FX4 2.0 EcoBoost Aut.;22
10758;Maverick Lariat Hybrid 2.5 Aut.;22
824;Mondeo CLX 1.8 4p e 5p;22
825;Mondeo CLX 1.8i SW;22
826;Mondeo CLX 2.0i 4p Aut;22
827;Mondeo CLX 2.0i 4p Mec;22
