;id;municipio;estado;regiao;uf;data
9851;330380715;Paraty;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
9852;231325205;Tarrafas;Ceará;Nordeste;CE;2024-02-04 15:58:33
9853;292130210;Milagres;Bahia;Nordeste;BA;2024-02-04 15:58:33
9854;160070905;Tartarugalzinho;Amapá;Norte;AP;2024-02-04 15:58:33
9855;316290625;São João Nepomuceno;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9856;316840812;Tarumirim;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9857;355395505;Tarumã;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9858;316840805;Tarumirim;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9859;211200105;Tasso Fragoso;Maranhão;Nordeste;MA;2024-02-04 15:58:33
9860;270740410;Porto de Pedras;Alagoas;Nordeste;AL;2024-02-04 15:58:33
9861;355030880;São Paulo;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9862;355400305;Tatuí;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9863;231330205;Tauá;Ceará;Nordeste;CE;2024-02-04 15:58:33
9864;291940510;Licínio de Almeida;Bahia;Nordeste;BA;2024-02-04 15:58:33
9865;261390930;Serra Talhada;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9866;150220215;Capanema;Pará;Norte;PA;2024-02-04 15:58:33
9867;150560110;Peixe-Boi;Pará;Norte;PA;2024-02-04 15:58:33
9868;355410205;Taubaté;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9869;500110225;Aquidauana;Mato Grosso do Sul;Centro-Oeste;MS;2024-02-04 15:58:33
9870;432135205;Tavares;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9871;251660705;Tavares;Paraíba;Nordeste;PB;2024-02-04 15:58:33
9872;314710522;Pará de Minas;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9873;313840130;Leopoldina;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9874;352920315;Martinópolis;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9875;130420305;Tefé;Amazonas;Norte;AM;2024-02-04 15:58:33
9876;251670605;Teixeira;Paraíba;Nordeste;PB;2024-02-04 15:58:33
9877;293135005;Teixeira de Freitas;Bahia;Nordeste;BA;2024-02-04 15:58:33
9878;292090825;Mascote;Bahia;Nordeste;BA;2024-02-04 15:58:33
9879;412700705;Teixeira Soares;Paraná;Sul;PR;2024-02-04 15:58:33
9880;316850705;Teixeiras;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9881;110155905;Teixeirópolis;Rondônia;Norte;RO;2024-02-04 15:58:33
9882;313520945;Januária;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
