tipo_veiculo;valor;marca;modelo;anoModelo;combustivel;codigoFipe;mes_referencia;sigla_combustivel;Ano;id
1;R$ 14.097,00;Ford;Ka XR 1.6 MPI 8V;2001;Gasolina;003232-8;março de 2024;G;2001-1;22
1;R$ 53.573,00;Ford;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;2021;Gasolina;003412-6;março de 2024;G;2021-1;22
1;R$ 51.182,00;Ford;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;2020;Gasolina;003412-6;março de 2024;G;2020-1;22
1;R$ 49.295,00;Ford;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;2019;Gasolina;003412-6;março de 2024;G;2019-1;22
1;R$ 44.701,00;Ford;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;2018;Gasolina;003412-6;março de 2024;G;2018-1;22
1;R$ 42.941,00;Ford;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;2017;Gasolina;003412-6;março de 2024;G;2017-1;22
1;R$ 41.495,00;Ford;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;2016;Gasolina;003412-6;março de 2024;G;2016-1;22
1;R$ 39.792,00;Ford;Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p;2015;Gasolina;003412-6;março de 2024;G;2015-1;22
1;R$ 46.831,00;Ford;Ka+ Sedan 1.0 SEL TiCVT Flex 4p;2019;Gasolina;003413-4;março de 2024;G;2019-1;22
1;R$ 43.690,00;Ford;Ka+ Sedan 1.0 SEL TiCVT Flex 4p;2018;Gasolina;003413-4;março de 2024;G;2018-1;22
1;R$ 41.422,00;Ford;Ka+ Sedan 1.0 SEL TiCVT Flex 4p;2017;Gasolina;003413-4;março de 2024;G;2017-1;22
1;R$ 37.181,00;Ford;Ka+ Sedan 1.0 SEL TiCVT Flex 4p;2016;Gasolina;003413-4;março de 2024;G;2016-1;22
1;R$ 36.274,00;Ford;Ka+ Sedan 1.0 SEL TiCVT Flex 4p;2015;Gasolina;003413-4;março de 2024;G;2015-1;22
1;R$ 46.566,00;Ford;Ka+ Sedan 1.5 ADVANCED 16V Flex 4p;2018;Gasolina;003446-0;março de 2024;G;2018-1;22
1;R$ 47.544,00;Ford;Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p;2018;Gasolina;003414-2;março de 2024;G;2018-1;22
1;R$ 43.513,00;Ford;Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p;2017;Gasolina;003414-2;março de 2024;G;2017-1;22
1;R$ 41.403,00;Ford;Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p;2016;Gasolina;003414-2;março de 2024;G;2016-1;22
1;R$ 39.938,00;Ford;Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p;2015;Gasolina;003414-2;março de 2024;G;2015-1;22
1;R$ 48.365,00;Ford;Ka+ Sedan 1.5 SEL 16V Flex 4p;2018;Gasolina;003415-0;março de 2024;G;2018-1;22
1;R$ 43.992,00;Ford;Ka+ Sedan 1.5 SEL 16V Flex 4p;2017;Gasolina;003415-0;março de 2024;G;2017-1;22
1;R$ 42.258,00;Ford;Ka+ Sedan 1.5 SEL 16V Flex 4p;2016;Gasolina;003415-0;março de 2024;G;2016-1;22
1;R$ 40.059,00;Ford;Ka+ Sedan 1.5 SEL 16V Flex 4p;2015;Gasolina;003415-0;março de 2024;G;2015-1;22
